capitulo;grupo;codigo;tipo;descricao
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A00;categoria;Cólera
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A000;subcategoria;Cólera devida a Vibrio cholerae 01, biótipo cholerae
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A001;subcategoria;Cólera devida a Vibrio cholerae 01, biótipo El Tor
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A009;subcategoria;Cólera não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A01;categoria;Febres tifóide e paratifóide
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A010;subcategoria;Febre tifóide
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A011;subcategoria;Febre paratifóide A
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A012;subcategoria;Febre paratifóide B
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A013;subcategoria;Febre paratifóide C
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A014;subcategoria;Febre paratifóide não especificada
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A02;categoria;Outras infecções por Salmonella
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A020;subcategoria;Enterite por salmonela
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A021;subcategoria;Septicemia por salmonela
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A022;subcategoria;Infecções localizadas por salmonela
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A028;subcategoria;Outras infecções especificadas por salmonela
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A029;subcategoria;Infecção não especificada por salmonela
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A03;categoria;Shiguelose
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A030;subcategoria;Shiguelose devida a Shigella dysenteriae
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A031;subcategoria;Shiguelose devida a Shigella flexneri
Capítulo I - Algumas doenças infecciosas e parasitárias;Doenças infecciosas intestinais;A032;subcategoria;Shiguelose devida a Shigella boydii
