term	chapter	heading
Sistemas de Informação em Saúde (SIS)	introducao	Introdução
Dados	introducao	Dados, informação e conhecimento
Informação	introducao	Dados, informação e conhecimento
Conhecimento	introducao	Dados, informação e conhecimento
Registro Civil	historico	Do Registro Civil à aproximação com o setor saúde
Instrumentos de coleta	historico	Padronização dos instrumentos de coleta
DATASUS	historico	O Departamento de Informática do SUS — DATASUS
Disseminação pública de dados	historico	Disseminação pública e acesso aos dados
Interoperabilidade	historico	Integração, interoperabilidade e novos desafios
Qualidade dos dados	historico	Qualidade, oportunidade e desigualdades
Sistemas vitais	organizacao	Sistemas vitais
Morbidade	organizacao	Sistemas de morbidade e vigilância
Vigilância epidemiológica	organizacao	Sistemas de morbidade e vigilância
Sistemas assistenciais	organizacao	Sistemas assistenciais
Sistemas cadastrais	organizacao	Sistemas cadastrais, financeiros e de gestão
Sistemas financeiros	organizacao	Sistemas cadastrais, financeiros e de gestão
Sistemas de imunização	organizacao	Sistemas de imunização
Cobertura dos dados	organizacao	Cobertura: todo o território, SUS e saúde suplementar
Saúde suplementar	organizacao	Cobertura: todo o território, SUS e saúde suplementar
Níveis geográficos	organizacao	Níveis geográficos
Periodicidade dos dados	organizacao	Periodicidade e versões dos dados
Unidade de análise	organizacao	Unidade de análise
Completude	organizacao	Qualidade, completude e comparabilidade
Comparabilidade	organizacao	Qualidade, completude e comparabilidade
Doenças, agravos e eventos de saúde	organizacao	Doenças, agravos e eventos de saúde
Integração entre sistemas	organizacao	Integração entre sistemas
Evento de saúde	eventos	Eventos de saúde
Pessoa	eventos	Evento, pessoa, episódio e registro
Episódio	eventos	Evento, pessoa, episódio e registro
Registro	eventos	Evento, pessoa, episódio e registro
Dengue	eventos	Exemplo integrado: dengue
Acidente de trânsito	eventos	Exemplo integrado: acidente de trânsito
Notificação	eventos	Casos de doenças e agravos
Procedimentos ambulatoriais	eventos	Procedimentos ambulatoriais
Internações	eventos	Internações
Óbitos	eventos	Óbitos
Nascimentos	eventos	Nascimentos
Imunizações	eventos	Imunizações
Denominadores	eventos	Denominadores e indicadores
Indicadores	eventos	Denominadores e indicadores
Relacionamento entre sistemas	eventos	Relacionamento entre sistemas
SIM — Sistema de Informação sobre Mortalidade	sim	SIM — Sistema de Informação sobre Mortalidade
Declaração de Óbito (DO)	sim	Fluxo da Declaração de Óbito
Emissão da Declaração de Óbito	sim	Emissão da Declaração de Óbito
Vigilância do óbito	sim	Vigilância e investigação de óbitos
Unidade de análise	sim	Cobertura e unidade de análise
Causa básica do óbito	sim	Causa básica do óbito
Causas múltiplas de morte	sim	Causa básica e causas múltiplas
Codificação pela CID	sim	Codificação pela CID
Análise territorial	sim	Análise territorial
Análise temporal	sim	Análise temporal
Acidentes de trânsito	sim	Exemplo: acidentes de trânsito
Mortalidade infantil	sim	Exemplo: mortalidade infantil
Qualidade dos dados	sim	Qualidade dos dados
SINASC — Sistema de Informação sobre Nascidos Vivos	sinasc	SINASC — Sistema de Informação sobre Nascidos Vivos
Declaração de Nascido Vivo (DNV)	sinasc	Fluxo da Declaração de Nascido Vivo
Nascido vivo	sinasc	O que é nascido vivo
Unidade de análise	sinasc	Cobertura e unidade de análise
Gestação múltipla	sinasc	Gestações múltiplas
Anomalias congênitas	sinasc	Anomalias congênitas
Baixo peso ao nascer	sinasc	Exemplo: baixo peso ao nascer
Denominadores	sinasc	Uso como denominador
Qualidade dos dados	sinasc	Avaliação da qualidade dos dados
SIH/SUS — Sistema de Informações Hospitalares do SUS	sih	SIH — Sistema de Informações Hospitalares do SUS
Autorização de Internação Hospitalar (AIH)	sih	Fluxo da AIH
AIH	sih	AIH, internação e pessoa
Internação hospitalar	sih	AIH, internação e pessoa
Tipos de AIH	sih	Tipos de AIH e complexidade
Unidade de análise	sih	Cobertura e unidade de análise
Diagnóstico hospitalar	sih	Diagnóstico, procedimento e valores
SIGTAP	sih	Procedimentos e SIGTAP
Fluxos de internação	sih	Exemplo: fluxos de internação
AIH rejeitada	sih	AIHs rejeitadas
Internações por Condições Sensíveis à Atenção Primária (ICSAP)	sih	Exemplo: internações por condições sensíveis à atenção primária
Grandes volumes de dados	sih	Processamento de grandes volumes
SIA/SUS — Sistema de Informações Ambulatoriais do SUS	sia	SIA — Sistema de Informações Ambulatoriais do SUS
Produção ambulatorial	sia	Fluxo da produção ambulatorial
Boletim de Produção Ambulatorial (BPA)	sia	Instrumentos de registro
Autorização de Procedimentos Ambulatoriais (APAC)	sia	Instrumentos de registro
Unidade de análise	sia	Unidade de análise
SIGTAP	sia	Procedimentos e SIGTAP
Mamografia	sia	Exemplo: produção de mamografias
APAC	sia	APAC e alta complexidade
Produção ambulatorial rejeitada	sia	Produção rejeitada e crítica
Validação reprodutível	sia	Validação reprodutível
SINAN — Sistema de Informação de Agravos de Notificação	sinan	SINAN — Sistema de Informação de Agravos de Notificação
Notificação compulsória	sinan	Fluxo da notificação
SINAN NET	sinan	SINAN NET, SINAN Online e e-SUS SINAN
SINAN Online	sinan	SINAN NET, SINAN Online e e-SUS SINAN
e-SUS SINAN	sinan	SINAN NET, SINAN Online e e-SUS SINAN
Definição de caso	sinan	Definições de caso
Unidade de análise	sinan	Unidade de análise
Oportunidade da vigilância	sinan	Oportunidade da vigilância
Duplicidades	sinan	Duplicidades e recorrências
Recorrências	sinan	Duplicidades e recorrências
Dengue	sinan	Exemplo: dengue
Arboviroses	sinan	Arboviroses
Acidente de trabalho com material biológico	sinan	Acidente de trabalho com material biológico
Acidente de trabalho	sinan	Acidente de trabalho
Aids em adultos	sinan	Aids em adultos
Aids em crianças	sinan	Aids em crianças
Acidentes por animais peçonhentos	sinan	Acidentes por animais peçonhentos
Atendimento antirrábico	sinan	Atendimento antirrábico
Botulismo	sinan	Botulismo
Câncer relacionado ao trabalho	sinan	Câncer relacionado ao trabalho
Doença de Chagas	sinan	Doença de Chagas
Chikungunya	sinan	Chikungunya
Cólera	sinan	Cólera
Coqueluche	sinan	Coqueluche
Dengue	sinan	Dengue
Dermatoses ocupacionais	sinan	Dermatoses ocupacionais
Esporotricose	sinan	Esporotricose (epizootia)
HIV em adultos	sinan	HIV em adultos
HIV em crianças	sinan	HIV em crianças
HIV em gestantes	sinan	HIV em gestante
Influenza pandêmica	sinan	Influenza pandêmica
Rotavírus	sinan	Rotavírus
Doenças transmitidas por alimentos	sinan	Surto de doenças transmitidas por alimentos
Difteria	sinan	Difteria
Esquistossomose mansoni	sinan	Esquistossomose mansoni
Doenças exantemáticas	sinan	Doenças exantemáticas
Febre amarela	sinan	Febre amarela
Febre maculosa	sinan	Febre maculosa
Febre Oropouche	sinan	Febre Oropouche
Febre tifoide	sinan	Febre tifoide
Hanseníase	sinan	Hanseníase
Hantavirose	sinan	Hantavirose
Hepatites virais	sinan	Hepatites virais
Intoxicação exógena	sinan	Intoxicação exógena
Leishmaniose tegumentar americana	sinan	Leishmaniose tegumentar americana
Leishmaniose visceral	sinan	Leishmaniose visceral
Leptospirose	sinan	Leptospirose
LER/DORT	sinan	LER/DORT
Malária	sinan	Malária
Meningite	sinan	Meningite
Transtornos mentais relacionados ao trabalho	sinan	Transtornos mentais relacionados ao trabalho
Tracoma	sinan	Notificação de tracoma
Perda auditiva induzida por ruído	sinan	Perda auditiva por ruído relacionado ao trabalho
Mpox	sinan	Mpox
Peste	sinan	Peste
Poliomielite	sinan	Poliomielite/paralisia flácida aguda
Paralisia flácida aguda	sinan	Poliomielite/paralisia flácida aguda
Pneumoconioses relacionadas ao trabalho	sinan	Pneumoconioses relacionadas ao trabalho
Raiva humana	sinan	Raiva humana
Sífilis adquirida	sinan	Sífilis adquirida
Sífilis congênita	sinan	Sífilis congênita
Sífilis em gestantes	sinan	Sífilis em gestante
Síndrome da rubéola congênita	sinan	Síndrome da rubéola congênita
Tétano acidental	sinan	Tétano acidental
