id;content;start;end
1;<small><b>Criação do SUS</b></small>;1988-10-05;
2;<small>Instituição do SIA</small>;1990-06-29;
3;<small>Implantação do SIA<br>nas Ufs</small>;1994-07-01;
4;<small>Boletim de Produção</br>Ambulatorial Consolidado (BPA-C)</small>;1995-01-01;
5;<small>Autorização de Procedimentos</br>Ambulatoriais de Alto Custo (APAC)</small>;1996-01-01;
6;<small>Expansão do SIA para</br>municípios com a NOB1/96</small>;1996-01-01;
7;<small>Banco de Dados Nacional do SIA</small>;1995-06-21;
8;<small>Ampliação e recodificação</br>da tabela de procedimentos</small>;1999-10-01;
9;<small>Reestruturação da tabela de procedimentos</small>;2003-08-13;
10;<small>Sistema de Gerenciamento da Tabela de</br>Procedimentos, Medicamentos e OPM do SUS (SIGTAP)</small>;2007-02-08;
11;<small>BPA Individualizado (BPA-I)</small>;2008-01-01;
12;<small>Integração com CNES e CADSUS Web</small>;2013-02-20;
13;<small>Instituição do <b>Conjunto Mínimo de Dados</b> (CMD)</small>;2016-08-25;
14;<small>Alimentação mensal e sistemática do SIA e do CMD</small>;2025-07-18;
