id;content;start;end
1;<small><b>Criação do SUS</b></small>;1988-10-05;
2;<small>Sistema de Assistência Médico-Hospitalar</br>da Previdência Social (SAMHPS) em Curitiba</small>;1981-01-01;
3;<small>Sistema de Assistência Médico-Hospitalar</br>da Previdência Social (SAMHPS) no Paraná</small>;1983-01-01;
4;<small>Sistema de Informações</br>Hospitalares do Sistema Único de Saúde (SIH-SUS)</small>;1991-01-01;
5;<small>Inclusão de variáveis</br>socioeconômicas</small>;1998-11-25;
6;<small>Sistema Nacional de Controle e Pagamento de</br>Contas Hospitalares e Guia de Internação Hospitalar</small>;1977-01-01;
7;<small>AIH em disquete e captação descentralizada</small>;1992-01-01;
8;<small>Descentralização do processamento do SIH/SUS</small>;2006-01-01;
9;<small>Instituição do <b>Conjunto Mínimo de Dados</b> (CMD)</small>;2016-08-25;
10;<small>Alimentação mensal e sistemática do SIH e do CMD</small>;2025-07-18;
