id;content;start
1;<small><b>Criação do SUS</b></small>;1988-10-05
2;<small>Portaria GM/MS 36 sobre</br>normas de potabilidade da água</small>;1990-01-01
3;<small>Concepção e implantação do SISAGUA 1</small>;1999-01-01
4;<small>Portaria MS 1469 com nova norma de potabilidade</small>;2000-01-01
5;<small>SISAGUA 1</small>;2000-01-01
6;<small>Portaria MS 518 com novas</br>normas de potabilidade</small>;2004-01-01
7;<small>SISAGUA 2</small>;2004-01-01
8;<small>Institucionalização do VIGIAGUA</small>;2005-01-01
9;<small>Reformulação do SISAGUA</small>;2006-01-01
10;<small>SISAGUA 3</small>;2007-01-01
11;<small>Portaria MS 2914 de procedimentos de</br>controle e vigilância da água</small>;2011-01-01
12;<small>SISAGUA 4</small>;2014-01-01
13;<small>Diretriz do plano nacional de</br>amostragem de qualidade da água</small>;2016-01-01
14;<small>Reformulação do SISAGUA</small>;2021-01-01
